Province,Municipality,Address,Typology,Reflui Trattati,Potenz. (A.E.),Corpo Recettore,Recettore Finale,full_address,fallback_address,Latitude,Longitude
SALERNO,VALVA,LOC. ARIELLA,Comunale,Urbani,700,Vallone Ariella,Fiume Sele,"LOC. ARIELLA, VALVA, Campania, Italy","VALVA, SALERNO, Campania, Italy",40.738215,15.269454
SALERNO,FURORE,loc. Portella,Comunale,Urbani,600,Condotta Sottomarina,Mare,"loc. Portella, FURORE, Campania, Italy","FURORE, SALERNO, Campania, Italy",40.618792,14.5533482
SALERNO,MONTECORICE,FRAZ. AGNONE,Comunale,Urbani,500,Rivo Roviscelli,Mare,"FRAZ. AGNONE, MONTECORICE, Campania, Italy","MONTECORICE, SALERNO, Campania, Italy",40.2340242,14.984681
SALERNO,MONTECORICE,LOC. CASE DEL CONTE,Comunale,Urbani,500,Condotta Sottomarina,Mare,"LOC. CASE DEL CONTE, MONTECORICE, Campania, Italy","MONTECORICE, SALERNO, Campania, Italy",40.2340242,14.984681
SALERNO,MONTECORICE,FRAZ. AGNONE,Comunale,Urbani,500,Condotta Sottomarina,Mare,"FRAZ. AGNONE, MONTECORICE, Campania, Italy","MONTECORICE, SALERNO, Campania, Italy",40.2340242,14.984681
CASERTA,ALIFE,,Depuratore,Urbani,450,Canale,F.Volturno,", ALIFE, Campania, Italy","ALIFE, CASERTA, Campania, Italy",41.32612,14.334026
CASERTA,BAIA E LATINA,,Depuratore,Urbani,350,Vallone Ponte Murato,F.Volturno,", BAIA E LATINA, Campania, Italy","BAIA E LATINA, CASERTA, Campania, Italy",41.302919,14.252124
CASERTA,CASTELMORRONE,FRAZ. S.MAURO,IMP.SOLLEVAMENTO,Urbani,80,Rete Fognaria Limatola (Bn),F.Volturno,"FRAZ. S.MAURO, CASTELMORRONE, Campania, Italy","CASTELMORRONE, CASERTA, Campania, Italy",41.142666,14.356123
SALERNO,AGROPOLI,LOC. TAVERNE,Comunale,Urbani,80,Condotta Sottomarina,Mare,"LOC. TAVERNE, AGROPOLI, Campania, Italy","AGROPOLI, SALERNO, Campania, Italy",40.346905,14.996553
CASERTA,BAIA E LATINA,LOC.CROCE,Depuratore,Urbani,50,Canale Rava,F.Volturno,"LOC.CROCE, BAIA E LATINA, Campania, Italy","BAIA E LATINA, CASERTA, Campania, Italy",41.302919,14.252124
CASERTA,BAIA E LATINA,LOC. PIEDICASTELLO,Depuratore,Urbani,50,Vallone Pontemurata,F.Volturno,"LOC. PIEDICASTELLO, BAIA E LATINA, Campania, Italy","BAIA E LATINA, CASERTA, Campania, Italy",41.302919,14.252124
CASERTA,BAIA E LATINA,FRAZ. LATINA,Depuratore,Urbani,50,Fosso S.Pietro,F.Volturno,"FRAZ. LATINA, BAIA E LATINA, Campania, Italy","BAIA E LATINA, CASERTA, Campania, Italy",41.302919,14.252124
BENEVENTO,SAN MARTINO SANNITA,LOC. LI FELICI,Comunale,Urbani,50,Torrente Mele,Fiume Calore,"LOC. LI FELICI, SAN MARTINO SANNITA, Campania, Italy","SAN MARTINO SANNITA, BENEVENTO, Campania, Italy",41.066218,14.83584
SALERNO,VALLO DELLA LUCANIA,LOC. PATTANO,Comunale,Urbani,20,Torrente Badolato,Fiume Alento,"LOC. PATTANO, VALLO DELLA LUCANIA, Campania, Italy","VALLO DELLA LUCANIA, SALERNO, Campania, Italy",40.229704,15.26576
SALERNO,OLEVANO SUL TUSCIANO,FRAZ. MONTICELLI,Comunale,Urbani,3.7,Fiume Tusciano,Fiume Tusciano,"FRAZ. MONTICELLI, OLEVANO SUL TUSCIANO, Campania, Italy","OLEVANO SUL TUSCIANO, SALERNO, Campania, Italy",40.6689045,15.0326148
CASERTA,CELLOLE,CELLOLE VIA PIETRE BIANCHE,IMP.SOLLEVAMENTO,Urbani,,Fosso Ariella,,"CELLOLE VIA PIETRE BIANCHE, CELLOLE, Campania, Italy","CELLOLE, CASERTA, Campania, Italy",41.204814,13.854317
CASERTA,SESSA AURUNCA,ROTONDA COND. LE BOTTEGHE,IMP.SOLLEVAMENTO,Urbani,,Fosso Ariella,,"ROTONDA COND. LE BOTTEGHE, SESSA AURUNCA, Campania, Italy","SESSA AURUNCA, CASERTA, Campania, Italy",41.2369344,13.9347304
CASERTA,CELLOLE,CELLOLE,IMP.SOLLEVAMENTO,Urbani,,Fosso Ariella,,"CELLOLE, CELLOLE, Campania, Italy","CELLOLE, CASERTA, Campania, Italy",41.1960166,13.8756694
